unique_id,sample_year,stream_name,site_id,sample_hitch,compartment,resource,taxon_code,length_mm,d13C,d15N,CN
2017-LR00-BKT-27,2017,Laramie,LR00,H3,fish,fish,BKT,43,-25.2887365,5.9233237,3.56996649
2017-LR00-BKT-26,2017,Laramie,LR00,H3,fish,fish,BKT,40,-23.8096175,5.974211,3.96454848
2017-LR00-BKT-25,2017,Laramie,LR00,H3,fish,fish,BKT,55,-22.6680897,5.9439774,3.811741735
2017-LR00-BKT-23,2017,Laramie,LR00,H3,fish,fish,BKT,75,-25.1994606,5.9784502,3.521067563
2017-LR00-BKT-24,2017,Laramie,LR00,H3,fish,fish,BKT,50,-23.6511277,5.9684272,3.846262869
2017-LR00-BKT-28,2017,Laramie,LR00,H3,fish,fish,BKT,51,-22.5768076,5.9570073,3.727028355
2017-LR00-BKT-22,2017,Laramie,LR00,H3,fish,fish,BKT,224,-25.2102172,7.5500397,3.419001746
2017-LR00-BKT-21,2017,Laramie,LR00,H3,fish,fish,BKT,182,-25.3976155,7.5001547,3.358910808
2017-LR00-BKT-20,2017,Laramie,LR00,H3,fish,fish,BKT,176,-23.3020489,7.3221399,3.399322978
2017-LR00-BKT-19,2017,Laramie,LR00,H3,fish,fish,BKT,145,-23.572749,7.2640065,3.38709262
2017-LR00-BKT-11,2017,Laramie,LR00,H3,fish,fish,BKT,130,-25.6051665,7.3461951,3.630315586
2017-LR00-BKT-09,2017,Laramie,LR00,H3,fish,fish,BKT,118,-23.824928,6.7916561,3.628931
2017-LR00-BKT-10,2017,Laramie,LR00,H3,fish,fish,BKT,118,-23.719755,6.936284,3.852233
2017-LR00-BKT-29,2017,Laramie,LR00,H3,fish,fish,BKT,46,-24.136206,6.328216,3.9848468
2017-LR00-BKT-30,2017,Laramie,LR00,H3,fish,fish,BKT,36,-24.56255,6.241663,3.12588745
2016-LR00-BNT-09,2016,Laramie,LR00,H3,fish,fish,BNT,58,-27.5742715,7.619431,3.959725612
2016-LR00-BNT-10,2016,Laramie,LR00,H3,fish,fish,BNT,130,-27.7479355,8.3400852,3.241568402
2016-LR00-BNT-11,2016,Laramie,LR00,H3,fish,fish,BNT,126,-27.60372,8.165772,3.210867304
2016-LR00-BNT-14,2016,Laramie,LR00,H3,fish,fish,BNT,148,-27.0682065,7.870241,3.219247818
2016-LR00-BNT-15,2016,Laramie,LR00,H3,fish,fish,BNT,106,-27.6053768,8.3054804,3.219587266
2016-LR00-BNT-16,2016,Laramie,LR00,H3,fish,fish,BNT,136,-27.866656,7.9494448,3.262591898
2016-LR00-BNT-17,2016,Laramie,LR00,H3,fish,fish,BNT,171,-27.5297168,8.3654864,3.229190657
2016-LR00-BNT-18,2016,Laramie,LR00,H3,fish,fish,BNT,145,-26.8810584,8.1364635,3.466670967
2016-LR00-BNT-20,2016,Laramie,LR00,H3,fish,fish,BNT,131,-27.3451064,8.0934592,3.234064863
2016-LR00-BNT-13,2016,Laramie,LR00,H3,fish,fish,BNT,106,-26.2103925,8.01699,3.168740328
2017-LR00-BNT-12,2017,Laramie,LR00,H3,fish,fish,BNT,117,-24.857857,6.6465897,3.359623269
2017-LR00-BNT-13,2017,Laramie,LR00,H3,fish,fish,BNT,164,-22.4754945,6.5654034,3.303079192
2017-LR00-BNT-14,2017,Laramie,LR00,H3,fish,fish,BNT,113,-25.128694,6.9773487,3.323944805
2017-LR00-BNT-15,2017,Laramie,LR00,H3,fish,fish,BNT,120,-24.7735966,7.1908386,3.463390199
2017-LR00-BNT-16,2017,Laramie,LR00,H3,fish,fish,BNT,106,-22.7553594,6.6395736,3.421328344
2017-LR00-BNT-17,2017,Laramie,LR00,H3,fish,fish,BNT,110,-22.4764976,6.4160607,3.427235741
2016-LR00-H1-terr-c3c4,2016,Laramie,LR00,H1,baseline,terrC3,c3,NA,-27.77422952,0.047359,24.9949578
2017-LR00-H2-terr-c3,2017,Laramie,LR00,H2,baseline,terrC3,c3,NA,-28.79148304,0.617384,16.54611602
2016-LR00-H1-terr-c3c4,2016,Laramie,LR00,H1,baseline,terrC4,c4,NA,-19.28995472,2.8019468,19.16499445
2017-LR00-H2-terr-c4,2017,Laramie,LR00,H2,baseline,terrC4,c4,NA,-19.9725587,1.6846472,8.342857143
B-2016-LR00-H3-4,2016,Laramie,LR00,H3,invert,invert,Chironomidae,NA,-17.9563686,1.4270475,5.135206628
B-2016-LR00-H3-3,2016,Laramie,LR00,H3,invert,invert,Chironomidae,NA,-16.25167312,0.949815,4.892499492
B-2016-LR00-H3-8,2016,Laramie,LR00,H3,invert,invert,Elmidae-adult,NA,-23.17803767,1.2150558,4.927637652
B-2016-LR00-H3-81,2016,Laramie,LR00,H3,invert,invert,Elmidae-adult,NA,-23.4384728,0.894729,4.7254947
B-2016-LR00-H3-7,2016,Laramie,LR00,H3,invert,invert,Elmidae-larvae,NA,-21.52517745,0.8181993,5.090850396
B-2016-LR00-H3-71,2016,Laramie,LR00,H3,invert,invert,Elmidae-larvae,NA,-21.239472,1.10394789,4.9827483
PP-17-H1-LR00-FBOM-DEP-177-A,2016,Laramie,LR00,H1,baseline,detritus,FBOM,NA,-25.8055764,0.4995886,17.42636867
PP-17-H2-LR00-FBOM-DEP-42-A,2017,Laramie,LR00,H2,baseline,detritus,FBOM,NA,-25.8701012,0.0317013,12.4362054
PP-17-H1-LR00-ALG-LITH-181-A,2017,Laramie,LR00,H1,baseline,detritus,FBOM,NA,-23.301694,2.5337032,7.387978142
PP-17-H3-LR00-FBOM-DEP-217A,2017,Laramie,LR00,H3,baseline,detritus,FBOM,NA,-23.7440384,1.3139996,10.22038224
PP-17-H3-LR00-FBOM-DEP-216A,2017,Laramie,LR00,H3,baseline,detritus,FBOM,NA,-24.362036,0.8409612,12.73262491
2017-LR00-H2-photo-macrophtye,2016,Laramie,LR00,H2,baseline,photo,filimentous,NA,-29.83792304,1.5826648,10.83860293
2017-LR00-H2-photo-filimentous,2017,Laramie,LR00,H2,baseline,photo,filimentous,NA,-31.72572432,0.138774,14.25378703
B-2016-LR00-H3-16,2016,Laramie,LR00,H3,invert,invert,Heptaganeidae,NA,-25.02748068,1.5013953,5.232201862
B-2016-LR00-H3-161,2016,Laramie,LR00,H3,invert,invert,Heptaganeidae,NA,-25.192847,1.42738492,5.188274
B-2016-LR00-H3-162,2016,Laramie,LR00,H3,invert,invert,Heptaganeidae,NA,-25.0192383,1.3938473,5.2983743
B-2016-LR00-H3-6,2016,Laramie,LR00,H3,invert,invert,Hydropyschidae,NA,-20.60192298,3.5841384,4.271653767
B-2016-LR00-H3-61,2016,Laramie,LR00,H3,invert,invert,Hydropyschidae,NA,-20.537829,2.894737,4.193427
2016-LR00-LNS-07,2016,Laramie,LR00,H3,fish,fish,LNS,155,-24.16436,7.8853384,3.521880388
2016-LR00-LNS-08,2016,Laramie,LR00,H3,fish,fish,LNS,166,-24.1603248,7.6303129,3.437035791
2016-LR00-LNS-38,2016,Laramie,LR00,H3,fish,fish,LNS,131,-24.6970064,7.531303,3.280952389
2016-LR00-LNS-40,2016,Laramie,LR00,H3,fish,fish,LNS,188,-24.5547656,7.0893588,3.310533539
2016-LR00-LNS-06,2016,Laramie,LR00,H3,fish,fish,LNS,141,-25.0156499,7.04232,3.392499849
B-2016-LR00-H3-12,2016,Laramie,LR00,H3,invert,invert,Perlidae,NA,-19.87720735,3.4485039,4.370930525
B-2016-LR00-H3-10,2016,Laramie,LR00,H3,invert,invert,Perlidae,NA,-21.38923214,3.7780455,4.319247385
B-2016-LR00-H3-11,2016,Laramie,LR00,H3,invert,invert,Perlidae,NA,-21.60635343,3.4977342,4.869005082
B-2016-LR00-H3-13,2016,Laramie,LR00,H3,invert,invert,Perlodidae,NA,-20.17159251,3.9679338,4.627825215
B-2016-LR00-H3-131,2016,Laramie,LR00,H3,invert,invert,Perlodidae,NA,-20.189282,3.4923823,4.9284723
B-2016-LR00-H3-14,2016,Laramie,LR00,H3,invert,invert,Pteronarcidae,NA,-21.74718885,0.628311,6.024262305
B-2016-LR00-H3-15,2016,Laramie,LR00,H3,invert,invert,Pteronarcidae,NA,-21.2939281,1.03028821,6.8282839
PP-16-H3-LR00-SES-WATER--NA,2016,Laramie,LR00,H3,baseline,detritus,Seston,NA,-24.7403565,1.5113328,9.364142752
PP-16-H3-LR00-SES-WATER--NA,2016,Laramie,LR00,H1,baseline,detritus,Seston,NA,-25.256466,0.395939,8.01272061
PP-16-H3-LR00-SES-WATER--NA,2016,Laramie,LR00,H2,baseline,detritus,Seston,NA,-23.8654848,1.3181984,6.704188793
PP-17-H3-LR00-SES-WATER-170-A,2017,Laramie,LR00,H3,baseline,detritus,Seston,NA,-25.361425,0.6359784,13.7388535
PP-17-H2-LR00-SES-WATER-121-A,2017,Laramie,LR00,H2,baseline,detritus,Seston,NA,-23.989491,0.9731684,7.623076923
B-2016-LR00-H3-17,2016,Laramie,LR00,H3,invert,invert,Simulidae,NA,-18.71531507,1.7360898,6.962814504
B-2016-LR00-H3-2,2016,Laramie,LR00,H3,invert,invert,Simulidae,NA,-20.32905434,1.7395092,4.105641387
B-2016-LR00-H3-1,2016,Laramie,LR00,H3,invert,invert,Simulidae,NA,-20.46988977,1.8972471,4.059331514
B-2016-LR00-H3-5,2016,Laramie,LR00,H3,invert,invert,Tipulidae,NA,-19.94664704,4.084479,4.871938686
B-2016-LR00-H3-5,2016,Laramie,LR00,H3,invert,invert,Tipulidae,NA,-19.283928,4.1039382,4.385738
B-2016-LR00-H3-5,2016,Laramie,LR00,H3,invert,invert,Tipulidae,NA,-20.0384828,3.9849308,4.39283
B-2016-LR02-H2-1,2016,Laramie,LR02,H2,invert,invert,Athericidae,NA,-27.3623923,6.2524635,5.454597025
B-2016-LR02-H2-1,2016,Laramie,LR02,H2,invert,invert,Athericidae,NA,-27.52588377,5.8237128,5.67398192
B-2016-LR02-H3-10,2016,Laramie,LR02,H3,invert,invert,Athericidae,NA,-26.95418756,6.1260294,5.009201431
B-2016-LR02-H3-101,2016,Laramie,LR02,H3,invert,invert,Athericidae,NA,-26.64883,5.3948858,5.0394882
B-2016-LR02-H2-6,2016,Laramie,LR02,H2,invert,invert,Baetidae,NA,-27.40350992,4.4842434,6.514848318
B-2016-LR02-H2-31,2016,Laramie,LR02,H2,invert,invert,Baetidae,NA,-28.64067792,3.8992419,5.14974819
PP-16-H1-LR02-ALG-PEL--NA,2016,Laramie,LR02,H1,baseline,biofilm,Biofilm,NA,-27.5624348,2.8115575,10.47694705
PP-16-H1-LR02-ALG-LITH--NA,2016,Laramie,LR02,H1,baseline,biofilm,Biofilm,NA,-25.1538117,3.608547,9.601801415
PP-16-H1-LR02-ALG-PHY--NA,2016,Laramie,LR02,H1,baseline,biofilm,Biofilm,NA,-27.7444599,4.619626,10.18418965
PP-16-H2-LR02-ALG-PHY--NA,2016,Laramie,LR02,H2,baseline,biofilm,Biofilm,NA,-28.419692,3.6332066,9.265965078
PP-16-H2-LR02-ALG-LITH--NA,2016,Laramie,LR02,H2,baseline,biofilm,Biofilm,NA,-27.9186328,2.70002,8.791282541
PP-16-H3-LR02-ALG-LITH--NA,2016,Laramie,LR02,H3,baseline,biofilm,Biofilm,NA,-28.0438976,3.5791958,10.93980817
PP-17-H3-LR02-ALG-LITH-214A,2017,Laramie,LR02,H3,baseline,biofilm,Biofilm,NA,-26.574777,3.3835836,8.690588038
PP-17-H1-LR02-ALG-LITH-166-A,2017,Laramie,LR02,H1,baseline,biofilm,Biofilm,NA,-26.4475612,2.4505176,8.766277129
PP-17-H2-LR02-ALG-LITH-39-A,2017,Laramie,LR02,H2,baseline,biofilm,Biofilm,NA,-30.1125124,1.7631464,7.326572008
PP-17-H2-LR02-ALG-LITH-215A,2017,Laramie,LR02,H3,baseline,biofilm,Biofilm,NA,-27.4489946,2.3973778,9.661102443
2017-LR02-H2-terr-c4,2017,Laramie,LR02,H2,baseline,biofilm,Biofilm,NA,-28.64963056,3.6895564,14.24802593
2015-LR02-BNT-07,2015,Laramie,LR02,H3,fish,fish,BNT,150,-25.7073392,8.685479,3.318732734
2015-LR02-BNT-09,2015,Laramie,LR02,H3,fish,fish,BNT,88,-25.9280474,7.552613,3.525549174
2015-LR02-BNT-02,2015,Laramie,LR02,H3,fish,fish,BNT,201,-25.8444,8.436728,3.304386577
2015-LR02-BNT-08,2015,Laramie,LR02,H3,fish,fish,BNT,93,-25.3334454,7.470695,3.708443144
2015-LR02-BNT-01,2016,Laramie,LR02,H3,fish,fish,BNT,281,-25.7756505,10.1718018,3.487251566
2016-LR02-BNT-51,2016,Laramie,LR02,H3,fish,fish,BNT,140,-26.6385954,8.65531,3.437682
2016-LR02-BNT-55,2016,Laramie,LR02,H3,fish,fish,BNT,152,-26.7175548,8.82196,3.492700369
2016-LR02-BNT-56,2016,Laramie,LR02,H3,fish,fish,BNT,135,-25.871272,8.47149,3.274992268
2016-LR02-BNT-61,2016,Laramie,LR02,H3,fish,fish,BNT,305,-27.0941304,9.25929,3.38813611
2016-LR02-BNT-54,2016,Laramie,LR02,H3,fish,fish,BNT,164,-26.4158894,8.85226,3.436799418
2016-LR02-BNT-62,2016,Laramie,LR02,H3,fish,fish,BNT,320,-26.6527676,9.99356,3.250655583
2016-LR02-BNT-53,2016,Laramie,LR02,H3,fish,fish,BNT,150,-24.9310739,8.67046,3.300069255
2016-LR02-BNT-19,2016,Laramie,LR02,H3,fish,fish,BNT,70,-26.6871858,7.47967,3.327945683
2016-LR02-BNT-23,2016,Laramie,LR02,H3,fish,fish,BNT,71,-26.5080087,7.88266,3.245300474
2016-LR02-BNT-20,2016,Laramie,LR02,H3,fish,fish,BNT,70,-26.6517553,7.90589,3.270569778
2016-LR02-BNT-29,2016,Laramie,LR02,H3,fish,fish,BNT,61,-26.6355585,8.66844,3.22119788
2016-LR02-BNT-52,2016,Laramie,LR02,H3,fish,fish,BNT,153,-25.3945792,8.6177426,3.22331518
2016-LR02-BNT-57,2016,Laramie,LR02,H3,fish,fish,BNT,121,-25.7285072,8.3910377,3.294327343
2016-LR02-BNT-58,2016,Laramie,LR02,H3,fish,fish,BNT,113,-25.868786,8.0544758,3.235269085
2016-LR02-BNT-59,2016,Laramie,LR02,H3,fish,fish,BNT,132,-26.1150308,8.3031521,3.312853841
2016-LR02-BNT-60,2016,Laramie,LR02,H3,fish,fish,BNT,223,-26.5076096,9.3617741,3.369515006
2016-LR02-BNT-24,2016,Laramie,LR02,H3,fish,fish,BNT,62,-25.1885852,8.5208687,3.282337089
2016-LR02-BNT-25,2016,Laramie,LR02,H3,fish,fish,BNT,60,-26.0736536,8.8804007,3.287266624
2016-LR02-BNT-28,2016,Laramie,LR02,H3,fish,fish,BNT,64,-25.9636508,7.4862155,3.212773374
2016-LR02-BNT-13,2016,Laramie,LR02,H3,fish,fish,BNT,75,-26.136224,7.5541271,3.394761526
2016-LR02-BNT-07,2016,Laramie,LR02,H3,fish,fish,BNT,104,-26.2654016,8.4769259,3.225786797
2015-LR02-BNT-03,2016,Laramie,LR02,H3,fish,fish,BNT,355,-26.1,10.8,3.2
2015-LR02-BNT-04,2016,Laramie,LR02,H3,fish,fish,BNT,415,-25.7,11.6,3.1
2015-LR02-BNT-05,2016,Laramie,LR02,H3,fish,fish,BNT,301,-26.5,9.7,3.4
2015-LR02-BNT-06,2016,Laramie,LR02,H3,fish,fish,BNT,394,-25.9,11,3.6
2017-LR02-BNT-01,2017,Laramie,LR02,H3,fish,fish,BNT,380,-25.8278547,10.6577943,3.275912555
2017-LR02-BNT-02,2017,Laramie,LR02,H3,fish,fish,BNT,390,-25.8128082,11.0707419,3.36259057
2017-LR02-BNT-03,2017,Laramie,LR02,H3,fish,fish,BNT,366,-25.4727573,10.4984286,3.39738564
2017-LR02-BNT-04,2017,Laramie,LR02,H3,fish,fish,BNT,341,-25.9331802,10.2819318,3.296019953
2017-LR02-BNT-05,2017,Laramie,LR02,H3,fish,fish,BNT,57,-26.0685987,7.7922186,3.412675111
2017-LR02-BNT-06,2017,Laramie,LR02,H3,fish,fish,BNT,75,-26.8871283,7.5546735,3.400612635
2017-LR02-BNT-07,2017,Laramie,LR02,H3,fish,fish,BNT,64,-26.0324871,8.1049362,3.419014905
2017-LR02-BNT-08,2017,Laramie,LR02,H3,fish,fish,BNT,65,-27.074708,7.5667011,3.581619667
2017-LR02-BNT-09,2017,Laramie,LR02,H3,fish,fish,BNT,70,-26.5601177,7.5887517,3.396617253
2017-LR02-BNT-60,2017,Laramie,LR02,H3,fish,fish,BNT,149,-26.5872014,8.1430236,3.465803067
2017-LR02-BNT-61,2017,Laramie,LR02,H3,fish,fish,BNT,180,-26.2210699,9.0440913,3.326069861
2017-LR02-BNT-62,2017,Laramie,LR02,H3,fish,fish,BNT,102,-25.9492298,8.9949786,3.331240784
2017-LR02-BNT-63,2017,Laramie,LR02,H3,fish,fish,BNT,190,-25.7616501,8.1771018,3.344768047
2017-LR02-BNT-67,2017,Laramie,LR02,H3,fish,fish,BNT,201,-26.19198,9.5151723,3.339066687
2017-LR02-BNT-66,2017,Laramie,LR02,H3,fish,fish,BNT,137,-26.3163644,8.8706934,3.394751888
2017-LR02-BNT-65,2017,Laramie,LR02,H3,fish,fish,BNT,185,-26.1498498,8.1440259,3.39083953
2017-LR02-BNT-58,2017,Laramie,LR02,H3,fish,fish,BNT,160,-25.9773166,8.2663065,3.396530023
2017-LR02-BNT-55,2017,Laramie,LR02,H3,fish,fish,BNT,163,-26.0425181,8.3504997,3.333531814
2017-LR02-BNT-56,2017,Laramie,LR02,H3,fish,fish,BNT,143,-26.5370464,9.6665196,3.470057691
2017-LR02-BNT-59,2017,Laramie,LR02,H3,fish,fish,BNT,143,-26.5591146,7.9365498,3.380321452
2017-LR02-BNT-54,2017,Laramie,LR02,H3,fish,fish,BNT,141,-26.3544822,8.3935986,3.49909142
2017-LR02-BNT-64,2017,Laramie,LR02,H3,fish,fish,BNT,131,-26.0746173,9.3477882,3.357528354
B-2016-LR02-H3-5,2016,Laramie,LR02,H3,invert,invert,Brachycentridae,NA,-24.99031577,3.0637038,4.400575476
B-2016-LR02-H3-51,2016,Laramie,LR02,H3,invert,invert,Brachycentridae,NA,-24.694937,2.6859932,4.2028383
2016-LR02-H1-terr-c3c4,2016,Laramie,LR02,H1,baseline,terrC3,c3,NA,-28.44766784,0.486133,25.40407488
PP-17-H1-LR02-FBOM-DEP-164-A,2017,Laramie,LR02,H1,baseline,terrC3,c3,NA,-27.9732064,0.7300256,13.03176316
B-2016-LR02-H2-36,2016,Laramie,LR02,H2,invert,invert,Chironomidae,NA,-25.64238737,1.6315618,5.809735204
B-2016-LR02-H3-19,2016,Laramie,LR02,H3,invert,invert,Chironomidae,NA,-23.13304858,1.9816419,5.564798135
2015-LR02-CKC-02,2015,Laramie,LR02,H3,fish,fish,CKC,80,-26.2617475,8.837568,3.429174883
2015-LR02-CKC-07,2015,Laramie,LR02,H3,fish,fish,CKC,63,-25.498313,8.5623755,3.602917666
2016-LR02-CKC-017,2016,Laramie,LR02,H3,fish,fish,CKC,96,-27.8005398,9.035129,3.648128155
2016-LR02-CKC-01,2016,Laramie,LR02,H3,fish,fish,CKC,121,-25.1370715,10.55325,3.284977876
2016-LR02-CKC-02,2016,Laramie,LR02,H3,fish,fish,CKC,85,-26.9969496,8.99553,3.304466952
2016-LR02-CKC-04,2016,Laramie,LR02,H3,fish,fish,CKC,81,-27.0141587,8.77348,3.301306206
2016-LR02-CKC-05,2016,Laramie,LR02,H3,fish,fish,CKC,80,-26.8167602,9.02598,3.283174848
2016-LR02-CKC-06,2016,Laramie,LR02,H3,fish,fish,CKC,81,-26.681112,9.18354,3.28369018
2016-LR02-CKC-055,2016,Laramie,LR02,H3,fish,fish,CKC,85,-27.37483,9.83626,3.25526
2016-LR02-CKC-066,2016,Laramie,LR02,H3,fish,fish,CKC,82,-27.736353,9.4775638,3.439237
2016-LR02-CKC-03,2016,Laramie,LR02,H3,fish,fish,CKC,84,-26.5933888,8.6546308,3.292283964
2016-LR02-CKC-062,2017,Laramie,LR02,H3,fish,fish,CKC,68,-25.1433922,10.259005,3.603666329
2016-LR02-CKC-09,2017,Laramie,LR02,H3,fish,fish,CKC,85,-26.5569146,10.550613,3.583636907
2017-LR02-CKC-69,2017,Laramie,LR02,H3,fish,fish,CKC,51,-27.5792673,9.0310614,3.967194904
2017-LR02-CKC-70,2017,Laramie,LR02,H3,fish,fish,CKC,58,-27.7487912,8.9679165,3.704543082
2017-LR02-CKC-71,2017,Laramie,LR02,H3,fish,fish,CKC,55,-26.2952993,7.3151238,3.963132693
B-2016-LR02-H2-12,2016,Laramie,LR02,H2,invert,invert,Corixidae,NA,-26.33836793,4.6388748,5.898299564
B-2016-LR02-H2-12,2016,Laramie,LR02,H2,invert,invert,Corixidae,NA,-26.53906104,4.3687719,5.702134762
B-2016-LR02-H3-22,2016,Laramie,LR02,H3,invert,invert,Corixidae,NA,-24.16290764,3.4736214,5.678761997
B-2016-LR02-H3-17,2016,Laramie,LR02,H3,invert,invert,Corixidae,NA,-24.06510526,3.7358481,4.13194679
B-2016-LR02-H2-9,2016,Laramie,LR02,H2,invert,invert,Dytiscidae,NA,-25.75758347,4.5896321,4.70738813
B-2016-LR02-H3-3,2016,Laramie,LR02,H3,invert,invert,Dytiscidae,NA,-28.36351986,4.7797314,6.159482805
B-2016-LR02-H2-11,2016,Laramie,LR02,H2,invert,invert,Elmidae-adult,NA,-25.31728052,0.925713,4.654609838
B-2016-LR02-H3-2,2016,Laramie,LR02,H3,invert,invert,Elmidae-adult,NA,-25.56734982,1.6269828,5.608709948
B-2016-LR02-H2-32,2016,Laramie,LR02,H2,invert,invert,Elmidae-larvae,NA,-25.71565938,1.705584,5.335809436
B-2016-LR02-H3-1,2016,Laramie,LR02,H3,invert,invert,Elmidae-larvae,NA,-25.6240752,1.452165,5.780076984
PP-16-H1-LR02-FBOM-EROS--NA,2016,Laramie,LR02,H1,baseline,detritus,FBOM,NA,-27.2532972,2.1614542,11.84358548
PP-16-H2-LR02-FBOM-DEP--NA,2016,Laramie,LR02,H2,baseline,detritus,FBOM,NA,-27.0294592,1.8012205,11.05708927
PP-16-H2-LR02-FBOM-EROS--NA,2016,Laramie,LR02,H2,baseline,detritus,FBOM,NA,-23.5141608,0.5565914,8.097649294
PP-16-H3-LR02-ALG-LITH--NA,2016,Laramie,LR02,H3,baseline,detritus,FBOM,NA,-23.2782952,2.5932748,8.874827828
PP-17-H2-LR02-FBOM-DEP-36-A,2017,Laramie,LR02,H2,baseline,detritus,FBOM,NA,-26.8440224,1.5054962,12.13971881
PP-17-H3-LR02-FBOM-DEP-213A,2017,Laramie,LR02,H3,baseline,detritus,FBOM,NA,-24.3327518,1.4051998,13.73217448
2016-LR02-H1-photo-filimentous,2016,Laramie,LR02,H1,baseline,photo,filimentous,NA,-32.06085608,2.16136,18.81482196
2017-LR02-H2-photo-filimentous,2017,Laramie,LR02,H2,baseline,photo,filimentous,NA,-33.17386192,0.4984872,15.01219561
B-2016-LR02-H2-26,2016,Laramie,LR02,H2,invert,invert,Gomphidae,NA,-26.55584507,5.6527678,4.981630364
B-2016-LR02-H2-261,2016,Laramie,LR02,H2,invert,invert,Gomphidae,NA,-26.483283,4.6948327,4.3927384
B-2016-LR02-H3-20,2016,Laramie,LR02,H3,invert,invert,Heptaganeidae,NA,-24.99911799,2.2187511,5.112241347
B-2016-LR02-H3-201,2016,Laramie,LR02,H3,invert,invert,Heptaganeidae,NA,-24.894879,2.2304838,5.329372
B-2016-LR02-H3-202,2016,Laramie,LR02,H3,invert,invert,Heptaganeidae,NA,-25.12938,2.19943837,5.5847472
B-2016-LR02-H2-17,2016,Laramie,LR02,H2,invert,invert,Hydropyschidae,NA,-27.86559918,5.4804072,5.005800364
B-2016-LR02-H2-171,2016,Laramie,LR02,H2,invert,invert,Hydropyschidae,NA,-27.512473,4.8175388,4.919473
2015-LR02-LND-05,2015,Laramie,LR02,H3,fish,fish,LND,55,-26.0630926,8.443721,3.759768509
