common_name,phylum,subphylum,class,order,family,phyclassorder,taxon,taxon_code,notes,ffg,ffg_shd,ffg_grz,ffg_col,ffg_prd,feed_omn,feed_ply,habitat_dfd,habitat_rhp
skimmers,Arthropoda,NA,Insecta,Odonata,Libellulidae,Odonata,Libellulidae,,,Predator,,,,3,,,1,3
small winter stoneflies,Arthropoda,NA,Insecta,Plecoptera,Capniidae,Plecoptera,Capniidae,,,Collector,,1,2,,,1,,
green stoneflies,Arthropoda,NA,Insecta,Plecoptera,Chloroperlidae,Plecoptera,Chloroperlidae,,,Predator,,,,3,,,,3
spring stoneflies,Arthropoda,NA,Insecta,Plecoptera,Nemouriidae,Plecoptera,Nemouriidae,,,Collector,,1,2,,,1,,
common stoneflies,Arthropoda,NA,Insecta,Plecoptera,Perlidae,Plecoptera,Perlidae,,,Predator,,,,3,,,,
perloidid stoneflies,Arthropoda,NA,Insecta,Plecoptera,Perlodidae,Plecoptera,Perlodidae,,,Predator,,,,3,,,,
salmonflies,Arthropoda,NA,Insecta,Plecoptera,Pteronarcidae,Plecoptera,Pteronarcidae,,,Predator,,,,3,,,,
humpless casemaker,Arthropoda,NA,Insecta,Trichoptera,Brachycentridae,Trichoptera,Brachycentridae,,,Collector,,1,3,,,,,
saddle-case makers,Arthropoda,NA,Insecta,Trichoptera,Glossosomatidae,Trichoptera,Glossosomatidae,,,Grazer,,2,1,,,,,1
microcaddis,Arthropoda,NA,Insecta,Trichoptera,Hydroptilidae,Trichoptera,Hydroptilidae,,,Collector,,1,2,,,1,,
net-spinning caddis,Arthropoda,NA,Insecta,Trichoptera,Hydropyschidae,Trichoptera,Hydropyschidae,,Hydropsyche spp. ,Omnivore,,,2,1,1,,,1
bizzar caddis,Arthropoda,NA,Insecta,Trichoptera,Lepidostomatidae,Trichoptera,Lepidostomatidae,,,Collector,,1,2,,,,,
long-horned caddis,Arthropoda,NA,Insecta,Trichoptera,Leptoceridae,Trichoptera,Leptoceridae,,,Collector,1,,1,1,1,1,,1
northern caddis,Arthropoda,NA,Insecta,Trichoptera,Limnephilidae,Trichoptera,Limnephilidae,,,Collector,,1,2,,,,,
mortarjoint casemakers,Arthropoda,NA,Insecta,Trichoptera,Odontoceridae,Trichoptera,Odontoceridae,,,Collector,,1,2,,,,,
fingernet caddis,Arthropoda,NA,Insecta,Trichoptera,Philopotamidae,Trichoptera,Philopotamidae,,,Collector,,1,2,,,,,
tube-maker caddis,Arthropoda,NA,Insecta,Trichoptera,Polycentropodidae,Trichoptera,Polycentropodidae,,,Collector,,1,2,,,,,
free-living caddis,Arthropoda,NA,Insecta,Trichoptera,Rhyacophilidae,Trichoptera,Rhyacophilidae,,,Predator,,,,3,,,,
scuds,Arthropoda,Crustacea,Malacostraca,Amphipoda,Amphipoda,Crustacea,Gammaride,,,Collector,1,,2,,,1,1,2
crayfish,Arthropoda,Crustacea,Malacostraca,Decapoda,Cambaridae,Crustacea,Orconectes,,,Collector,1,,2,1,1,,,
sow bug,Arthropoda,Crustacea,Malacostraca,Isopoda,Asellidae,Crustacea,Asellidae,,,Collector,1,,1,1,1,1,1,
fingernail clams,Mollusca,NA,Bivalvia,Sphaeriida,Sphaeriidae,Mollusca,Sphaeriidae,,,Filterer,,,3,,,,,
backet clams,Mollusca,NA,Bivalvia,Vernerdia,Corbiculidae,Mollusca,Corbiculidae,,,Filterer,,,3,,,,,
pond snails,Mollusca,NA,Gastropoda,NA,Lymnaeidae,Mollusca,Lymnaeidae,,,Grazer,,1,2,,1,,,
bladder snails,Mollusca,NA,Gastropoda,NA,Physidae,Mollusca,Physidae,,,Omnivore,1,1,1,,1,1,,
roundworms,Nematoda,NA,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,,,Collector,,,3,,,,3,
funnel weaver spider,Arthropoda,NA,Arachnida,Araneae,Agelenidae,Arachnida,Agelenidae,,,terrestrial-Predator,,,,,,,,
wolf spider,Arthropoda,NA,Arachnida,Araneae,Lycosidae,Arachnida,Lycosidae,,,terrestrial-Predator,,,,,,,,
nursery web spider,Arthropoda,NA,Arachnida,Araneae,Pisauridae,Arachnida,Pisauridae,,,terrestrial-Predator,,,,,,,,
Long-jawed orb weaver,Arthropoda,NA,Arachnida,Araneae,Tetragnathidae,Arachnida,Tetragnathidae,,,terrestrial-Predator,,,,,,,,
leaf beetle,Arthropoda,NA,Insecta,Coleoptera,Chrysomelidae,Coleoptera,Chrysomelidae,,,terrestrial-herbivore,,,,,,,,
black fly adult ,Arthropoda,NA,Insecta,Diptera,Simulidae,Diptera,Simulidae-adult,,,terrestrial-Predator,,,,,,,,
soldier flies,Arthropoda,NA,Insecta,Diptera,Stratiomyidae,Diptera,Stratiomyidae,,,terrestrial-Predator,,,,,,,,
aphids,Arthropoda,NA,Insecta,Hemiptera,Aphididae,Hemiptera,Aphididae,,,terrestrial-herbivore,,,,,,,,
leaf hoppers,Arthropoda,NA,Insecta,Hemiptera,Cicadellidae,Hemiptera,Cicadellidae,,,terrestrial-herbivore,,,,,,,,
water treader,Arthropoda,NA,Insecta,Hemiptera,Mesoveliidae,Hemiptera,Mesoveliidae,,,terrestrial-Predator,,,,,,,,
stink bugs,Arthropoda,NA,Insecta,Hemiptera,Pentatomidae,Hemiptera,Pentatomidae,,,terrestrial-Predator,,,,,,,,
lace bugs,Arthropoda,NA,Insecta,Hemiptera,Tingidae,Hemiptera,Tingidae,,,terrestrial-herbivore,,,,,,,,
wasps,Arthropoda,NA,Insecta,Hymenoptera,Braconidae,Hymenoptera,Braconidae,,,terrestrial-Collector,,,,,,,,
ants,Arthropoda,NA,Insecta,Hymenoptera,Formicidae,Hymenoptera,Formicidae,,,terrestrial-Collector,,,,,,,,
parasitoid wasp,Arthropoda,NA,Insecta,Hymenoptera,Ichneumonidae,Hymenoptera,Ichneumonidae,,,terrestrial-Collector,,,,,,,,
short-horned grasshopper,Arthropoda,NA,Insecta,Orthoptera,Arcididae,Orthoptera,Acrididae,,,terrestrial-herbivore,,,,,,,,
